Device_type,Timestamp,Heart rate,Activity type,Sleep stage,Coffee
Apple Watch,20250602084904+0200,101,0,Awake,0
Apple Watch,20250602084905+0200,102,0,Awake,0
Apple Watch,20250602084910+0200,102,0,Awake,0
Apple Watch,20250602084918+0200,102,0,Awake,0
Apple Watch,20250602084924+0200,102,0,Awake,0
Apple Watch,20250602084925+0200,102,0,Awake,0
Apple Watch,20250602084930+0200,103,0,Awake,0
Apple Watch,20250602084935+0200,103,0,Awake,0
Apple Watch,20250602084943+0200,103,0,Awake,0
Apple Watch,20250602084946+0200,104,0,Awake,0
Apple Watch,20250602084953+0200,101,0,Awake,0
Apple Watch,20250602085241+0200,101,0,Awake,0
Apple Watch,20250602085243+0200,101,0,Awake,0
Apple Watch,20250602085247+0200,106,0,Awake,0
Apple Watch,20250602085256+0200,102,0,Awake,0
Apple Watch,20250602085257+0200,102,0,Awake,0
Apple Watch,20250602085302+0200,106,0,Awake,0
Apple Watch,20250602085307+0200,109,0,Awake,0
Apple Watch,20250602085312+0200,109,0,Awake,0
Apple Watch,20250602085319+0200,110,0,Awake,0
Apple Watch,20250602085322+0200,110,0,Awake,0
Apple Watch,20250602085332+0200,107,0,Awake,0
Apple Watch,20250602085334+0200,106,0,Awake,0
Apple Watch,20250602085342+0200,102,0,Awake,0
Apple Watch,20250602085345+0200,102,0,Awake,0
Apple Watch,20250602085348+0200,102,0,Awake,0
Apple Watch,20250602085402+0200,96,0,Awake,0
Apple Watch,20250602085403+0200,96,0,Awake,0
Apple Watch,20250602085556+0200,88,0,Awake,0
Apple Watch,20250602085810+0200,89,1,Awake,0
Apple Watch,20250602090449+0200,85,1,Awake,0
Apple Watch,20250602090907+0200,85,1,Awake,0
Apple Watch,20250602091433+0200,87,1,Awake,0
Apple Watch,20250602091913+0200,73,1,Awake,0
Apple Watch,20250602092349+0200,74,0,Awake,0
Apple Watch,20250602092625+0200,73,1,Awake,0
Apple Watch,20250602092828+0200,77,1,Awake,0
Apple Watch,20250602093532+0200,76,1,Awake,0
Apple Watch,20250602093841+0200,81,1,Awake,0
Apple Watch,20250602094204+0200,80,1,Awake,0
Apple Watch,20250602095136+0200,69,1,Awake,0
Apple Watch,20250602095315+0200,73,1,Awake,0
Apple Watch,20250602095953+0200,74,1,Awake,0
Apple Watch,20250602100143+0200,72,1,Awake,1
Apple Watch,20250602101024+0200,79,0,Awake,0
Apple Watch,20250602100810+0200,74,1,Awake,0
Apple Watch,20250602101420+0200,72,1,Awake,0
Apple Watch,20250602101637+0200,73,1,Awake,0
Apple Watch,20250602102435+0200,"76,0352",0,Awake,0
Apple Watch,20250602102221+0200,74,1,Awake,0
Apple Watch,20250602103133+0200,72,1,Awake,0
Apple Watch,20250602103419+0200,72,1,Awake,0
Apple Watch,20250602103705+0200,76,1,Awake,0
Apple Watch,20250602104503+0200,76,0,Awake,0
Apple Watch,20250602104537+0200,73,1,Awake,0
Apple Watch,20250602104735+0200,74,1,Awake,0
Apple Watch,20250602105447+0200,107,0,Awake,0
Apple Watch,20250602105449+0200,109,0,Awake,0
Apple Watch,20250602105456+0200,104,0,Awake,0
Apple Watch,20250602105458+0200,103,0,Awake,0
Apple Watch,20250602105506+0200,101,0,Awake,0
Apple Watch,20250602105509+0200,101,0,Awake,0
Apple Watch,20250602105517+0200,100,0,Awake,0
Apple Watch,20250602105519+0200,101,0,Awake,0
Apple Watch,20250602105523+0200,101,0,Awake,0
Apple Watch,20250602105532+0200,101,0,Awake,0
Apple Watch,20250602105537+0200,102,0,Awake,0
Apple Watch,20250602105538+0200,102,0,Awake,0
Apple Watch,20250602105546+0200,100,0,Awake,0
Apple Watch,20250602105549+0200,100,0,Awake,0
Apple Watch,20250602105556+0200,100,0,Awake,0
Apple Watch,20250602105602+0200,101,0,Awake,0
Apple Watch,20250602105605+0200,101,0,Awake,0
Apple Watch,20250602105608+0200,100,0,Awake,0
Apple Watch,20250602105615+0200,99,0,Awake,0
Apple Watch,20250602105618+0200,99,0,Awake,0
Apple Watch,20250602105627+0200,101,0,Awake,0
Apple Watch,20250602105628+0200,101,0,Awake,0
Apple Watch,20250602105646+0200,126,0,Awake,0
Apple Watch,20250602105649+0200,124,0,Awake,0
Apple Watch,20250602105653+0200,121,0,Awake,0
Apple Watch,20250602105702+0200,122,0,Awake,0
Apple Watch,20250602105705+0200,122,0,Awake,0
Apple Watch,20250602105708+0200,118,0,Awake,0
Apple Watch,20250602105717+0200,117,0,Awake,0
Apple Watch,20250602105719+0200,116,0,Awake,0
Apple Watch,20250602105726+0200,107,0,Awake,0
Apple Watch,20250602105733+0200,110,0,Awake,0
Apple Watch,20250602105737+0200,112,0,Awake,0
Apple Watch,20250602105739+0200,112,0,Awake,0
Apple Watch,20250602105748+0200,102,0,Awake,0
Apple Watch,20250602105753+0200,101,0,Awake,0
Apple Watch,20250602105754+0200,102,0,Awake,0
Apple Watch,20250602105759+0200,106,0,Awake,0
Apple Watch,20250602105808+0200,99,0,Awake,0
Apple Watch,20250602105811+0200,97,0,Awake,0
Apple Watch,20250602105814+0200,99,0,Awake,0
Apple Watch,20250602105823+0200,98,0,Awake,0
Apple Watch,20250602105828+0200,97,0,Awake,0
Apple Watch,20250602105832+0200,100,0,Awake,0
Apple Watch,20250602105836+0200,96,0,Awake,0
Apple Watch,20250602110057+0200,99,1,Awake,0
Apple Watch,20250602110634+0200,68,1,Awake,0
Apple Watch,20250602110759+0200,62,1,Awake,0
Apple Watch,20250602111651+0200,54,0,Awake,0
Apple Watch,20250602111258+0200,59,1,Awake,0
Apple Watch,20250602111920+0200,61,1,Awake,0
Apple Watch,20250602112556+0200,62,1,Awake,0
Apple Watch,20250602113100+0200,60,1,Awake,0
Apple Watch,20250602113224+0200,60,1,Awake,0
Apple Watch,20250602113639+0200,60,1,Awake,0
Apple Watch,20250602114430+0200,59,1,Awake,0
Apple Watch,20250602114711+0200,60,1,Awake,0
Apple Watch,20250602115149+0200,74,1,Awake,0
Apple Watch,20250602115931+0200,62,0,Awake,0
Apple Watch,20250602120239+0200,59,1,Awake,0
Apple Watch,20250602120708+0200,61,1,Awake,0
Apple Watch,20250602121418+0200,61,1,Awake,0
Apple Watch,20250602122004+0200,70,2,Awake,0
Apple Watch,20250602122216+0200,90,2,Awake,0
Apple Watch,20250602122221+0200,90,2,Awake,0
Apple Watch,20250602122225+0200,92,2,Awake,0
Apple Watch,20250602122229+0200,93,2,Awake,0
Apple Watch,20250602122232+0200,92,2,Awake,0
Apple Watch,20250602122237+0200,84,2,Awake,0
Apple Watch,20250602122242+0200,91,2,Awake,0
Apple Watch,20250602122251+0200,83,2,Awake,0
Apple Watch,20250602122254+0200,82,2,Awake,0
Apple Watch,20250602122301+0200,80,2,Awake,0
Apple Watch,20250602122306+0200,79,2,Awake,0
Apple Watch,20250602122311+0200,83,2,Awake,0
Apple Watch,20250602122316+0200,82,2,Awake,0
Apple Watch,20250602122317+0200,81,2,Awake,0
Apple Watch,20250602122322+0200,82,2,Awake,0
Apple Watch,20250602122327+0200,79,2,Awake,0
Apple Watch,20250602122333+0200,79,2,Awake,0
Apple Watch,20250602122341+0200,90,2,Awake,0
Apple Watch,20250602122346+0200,90,2,Awake,0
Apple Watch,20250602122347+0200,90,2,Awake,0
Apple Watch,20250602122352+0200,94,2,Awake,0
Apple Watch,20250602122401+0200,98,2,Awake,0
Apple Watch,20250602122406+0200,103,2,Awake,0
Apple Watch,20250602122409+0200,100,2,Awake,0
Apple Watch,20250602122414+0200,96,2,Awake,0
Apple Watch,20250602122417+0200,97,2,Awake,0
Apple Watch,20250602122426+0200,88,2,Awake,0
Apple Watch,20250602122431+0200,88,2,Awake,0
Apple Watch,20250602122436+0200,88,2,Awake,0
Apple Watch,20250602122438+0200,85,2,Awake,0
Apple Watch,20250602122443+0200,87,2,Awake,0
Apple Watch,20250602122447+0200,85,2,Awake,0
Apple Watch,20250602122452+0200,89,2,Awake,0
Apple Watch,20250602122457+0200,93,2,Awake,0
Apple Watch,20250602122506+0200,89,2,Awake,0
Apple Watch,20250602122511+0200,91,2,Awake,0
Apple Watch,20250602122512+0200,91,2,Awake,0
Apple Watch,20250602122521+0200,93,2,Awake,0
Apple Watch,20250602122526+0200,96,2,Awake,0
Apple Watch,20250602122531+0200,98,2,Awake,0
Apple Watch,20250602122533+0200,97,2,Awake,0
Apple Watch,20250602122537+0200,94,2,Awake,0
Apple Watch,20250602122544+0200,96,2,Awake,0
Apple Watch,20250602122551+0200,91,2,Awake,0
Apple Watch,20250602122556+0200,93,2,Awake,0
Apple Watch,20250602122601+0200,98,2,Awake,0
Apple Watch,20250602122606+0200,99,2,Awake,0
Apple Watch,20250602122607+0200,98,2,Awake,0
Apple Watch,20250602122616+0200,87,2,Awake,0
Apple Watch,20250602122618+0200,87,2,Awake,0
Apple Watch,20250602122622+0200,92,2,Awake,0
Apple Watch,20250602122631+0200,102,2,Awake,0
Apple Watch,20250602122633+0200,101,2,Awake,0
Apple Watch,20250602122641+0200,97,2,Awake,0
Apple Watch,20250602122642+0200,97,2,Awake,0
Apple Watch,20250602122650+0200,92,2,Awake,0
Apple Watch,20250602122653+0200,94,2,Awake,0
Apple Watch,20250602122657+0200,102,2,Awake,0
Apple Watch,20250602122706+0200,113,2,Awake,0
Apple Watch,20250602122707+0200,114,2,Awake,0
Apple Watch,20250602122712+0200,108,2,Awake,0
Apple Watch,20250602122717+0200,104,2,Awake,0
Apple Watch,20250602122726+0200,87,2,Awake,0
Apple Watch,20250602122728+0200,85,2,Awake,0
Apple Watch,20250602122734+0200,90,2,Awake,0
Apple Watch,20250602122741+0200,96,2,Awake,0
Apple Watch,20250602122742+0200,98,2,Awake,0
Apple Watch,20250602122749+0200,108,2,Awake,0
Apple Watch,20250602122755+0200,115,2,Awake,0
Apple Watch,20250602122801+0200,123,2,Awake,0
Apple Watch,20250602122806+0200,118,2,Awake,0
Apple Watch,20250602122808+0200,116,2,Awake,0
Apple Watch,20250602122812+0200,112,2,Awake,0
Apple Watch,20250602122820+0200,109,2,Awake,0
Apple Watch,20250602122826+0200,105,2,Awake,0
Apple Watch,20250602122828+0200,105,2,Awake,0
Apple Watch,20250602122832+0200,107,2,Awake,0
Apple Watch,20250602122837+0200,104,2,Awake,0
Apple Watch,20250602122842+0200,104,2,Awake,0
Apple Watch,20250602122847+0200,108,2,Awake,0
Apple Watch,20250602122854+0200,113,2,Awake,0
Apple Watch,20250602122857+0200,113,2,Awake,0
Apple Watch,20250602122902+0200,113,2,Awake,0
Apple Watch,20250602122911+0200,106,2,Awake,0
Apple Watch,20250602122916+0200,102,2,Awake,0
Apple Watch,20250602122921+0200,102,2,Awake,0
Apple Watch,20250602122924+0200,104,2,Awake,0
Apple Watch,20250602122927+0200,105,2,Awake,0
Apple Watch,20250602122936+0200,100,2,Awake,0
Apple Watch,20250602122941+0200,92,2,Awake,0
Apple Watch,20250602122943+0200,88,2,Awake,0
Apple Watch,20250602122951+0200,88,2,Awake,0
Apple Watch,20250602122956+0200,93,2,Awake,0
Apple Watch,20250602123001+0200,100,2,Awake,0
Apple Watch,20250602123002+0200,100,2,Awake,0
Apple Watch,20250602123010+0200,93,2,Awake,0
Apple Watch,20250602123016+0200,91,2,Awake,0
Apple Watch,20250602123017+0200,91,2,Awake,0
Apple Watch,20250602123025+0200,107,2,Awake,0
Apple Watch,20250602123029+0200,114,2,Awake,0
Apple Watch,20250602123032+0200,125,2,Awake,0
Apple Watch,20250602123038+0200,125,2,Awake,0
Apple Watch,20250602123042+0200,125,2,Awake,0
Apple Watch,20250602123051+0200,113,2,Awake,0
Apple Watch,20250602123056+0200,113,2,Awake,0
Apple Watch,20250602123058+0200,112,2,Awake,0
Apple Watch,20250602123102+0200,109,2,Awake,0
Apple Watch,20250602123111+0200,115,2,Awake,0
Apple Watch,20250602123114+0200,115,2,Awake,0
Apple Watch,20250602123117+0200,112,2,Awake,0
Apple Watch,20250602123126+0200,99,2,Awake,0
Apple Watch,20250602123131+0200,95,2,Awake,0
Apple Watch,20250602123133+0200,96,2,Awake,0
Apple Watch,20250602123137+0200,98,2,Awake,0
Apple Watch,20250602123142+0200,104,2,Awake,0
Apple Watch,20250602123156+0200,115,2,Awake,0
Apple Watch,20250602123201+0200,117,2,Awake,0
Apple Watch,20250602123203+0200,115,2,Awake,0
Apple Watch,20250602123211+0200,115,2,Awake,0
Apple Watch,20250602123212+0200,114,2,Awake,0
Apple Watch,20250602123219+0200,112,2,Awake,0
Apple Watch,20250602123222+0200,113,2,Awake,0
Apple Watch,20250602123230+0200,111,2,Awake,0
Apple Watch,20250602123236+0200,106,2,Awake,0
Apple Watch,20250602123238+0200,102,2,Awake,0
Apple Watch,20250602123251+0200,91,2,Awake,0
Apple Watch,20250602123255+0200,90,2,Awake,0
Apple Watch,20250602123257+0200,90,2,Awake,0
Apple Watch,20250602123306+0200,94,2,Awake,0
Apple Watch,20250602123307+0200,94,2,Awake,0
Apple Watch,20250602123316+0200,96,2,Awake,0
Apple Watch,20250602123321+0200,97,2,Awake,0
Apple Watch,20250602123322+0200,97,2,Awake,0
Apple Watch,20250602123327+0200,103,2,Awake,0
Apple Watch,20250602123333+0200,106,2,Awake,0
Apple Watch,20250602123339+0200,102,2,Awake,0
Apple Watch,20250602123342+0200,100,2,Awake,0
Apple Watch,20250602123347+0200,102,2,Awake,0
Apple Watch,20250602123352+0200,106,2,Awake,0
Apple Watch,20250602123400+0200,108,2,Awake,0
Apple Watch,20250602123406+0200,106,2,Awake,0
Apple Watch,20250602123411+0200,106,2,Awake,0
Apple Watch,20250602123413+0200,105,2,Awake,0
Apple Watch,20250602123421+0200,96,2,Awake,0
Apple Watch,20250602123422+0200,97,2,Awake,0
Apple Watch,20250602123431+0200,96,2,Awake,0
Apple Watch,20250602123432+0200,96,2,Awake,0
Apple Watch,20250602123437+0200,98,2,Awake,0
Apple Watch,20250602123446+0200,97,2,Awake,0
Apple Watch,20250602123451+0200,101,2,Awake,0
Apple Watch,20250602123453+0200,99,2,Awake,0
Apple Watch,20250602123458+0200,96,2,Awake,0
Apple Watch,20250602123502+0200,103,2,Awake,0
Apple Watch,20250602123509+0200,112,2,Awake,0
Apple Watch,20250602123515+0200,112,2,Awake,0
Apple Watch,20250602123526+0200,96,2,Awake,0
Apple Watch,20250602123527+0200,96,2,Awake,0
Apple Watch,20250602123532+0200,97,2,Awake,0
Apple Watch,20250602123539+0200,102,2,Awake,0
Apple Watch,20250602123544+0200,114,2,Awake,0
Apple Watch,20250602123550+0200,113,2,Awake,0
Apple Watch,20250602123555+0200,115,2,Awake,0
Apple Watch,20250602123557+0200,117,2,Awake,0
Apple Watch,20250602123602+0200,114,2,Awake,0
Apple Watch,20250602123607+0200,111,2,Awake,0
Apple Watch,20250602123626+0200,104,2,Awake,0
Apple Watch,20250602123631+0200,109,2,Awake,0
Apple Watch,20250602123636+0200,111,2,Awake,0
Apple Watch,20250602123637+0200,110,2,Awake,0
Apple Watch,20250602123642+0200,109,2,Awake,0
Apple Watch,20250602123651+0200,98,2,Awake,0
Apple Watch,20250602123654+0200,99,2,Awake,0
Apple Watch,20250602123658+0200,106,2,Awake,0
Apple Watch,20250602123706+0200,103,2,Awake,0
Apple Watch,20250602123707+0200,102,2,Awake,0
Apple Watch,20250602123712+0200,103,2,Awake,0
Apple Watch,20250602123719+0200,103,2,Awake,0
Apple Watch,20250602123723+0200,101,2,Awake,0
Apple Watch,20250602123727+0200,101,2,Awake,0
Apple Watch,20250602123736+0200,101,2,Awake,0
Apple Watch,20250602123739+0200,104,2,Awake,0
Apple Watch,20250602123743+0200,106,2,Awake,0
Apple Watch,20250602123749+0200,107,2,Awake,0
Apple Watch,20250602123752+0200,109,2,Awake,0
Apple Watch,20250602123759+0200,111,2,Awake,0
Apple Watch,20250602123806+0200,109,2,Awake,0
Apple Watch,20250602123811+0200,109,2,Awake,0
Apple Watch,20250602123812+0200,108,2,Awake,0
Apple Watch,20250602123817+0200,108,2,Awake,0
Apple Watch,20250602123823+0200,105,2,Awake,0
Apple Watch,20250602123828+0200,105,2,Awake,0
Apple Watch,20250602123836+0200,104,2,Awake,0
Apple Watch,20250602123839+0200,106,2,Awake,0
Apple Watch,20250602123846+0200,110,2,Awake,0
Apple Watch,20250602123847+0200,109,2,Awake,0
Apple Watch,20250602123852+0200,107,2,Awake,0
Apple Watch,20250602123859+0200,116,2,Awake,0
Apple Watch,20250602123906+0200,121,2,Awake,1
Apple Watch,20250602123908+0200,121,2,Awake,0
Apple Watch,20250602123912+0200,119,2,Awake,0
Apple Watch,20250602123921+0200,106,2,Awake,0
Apple Watch,20250602123924+0200,108,2,Awake,0
Apple Watch,20250602123927+0200,113,2,Awake,0
Apple Watch,20250602123934+0200,115,2,Awake,0
Apple Watch,20250602123941+0200,108,2,Awake,0
Apple Watch,20250602123942+0200,109,2,Awake,0
Apple Watch,20250602123947+0200,107,2,Awake,0
Apple Watch,20250602123956+0200,96,2,Awake,0
Apple Watch,20250602123958+0200,95,2,Awake,0
Apple Watch,20250602124002+0200,91,2,Awake,0
Apple Watch,20250602124011+0200,80,2,Awake,0
Apple Watch,20250602124016+0200,77,2,Awake,0
Apple Watch,20250602124020+0200,75,2,Awake,0
Apple Watch,20250602124022+0200,75,2,Awake,0
Apple Watch,20250602124030+0200,74,2,Awake,0
Apple Watch,20250602124036+0200,75,2,Awake,0
Apple Watch,20250602124041+0200,75,2,Awake,0
Apple Watch,20250602124043+0200,74,2,Awake,0
Apple Watch,20250602124049+0200,75,2,Awake,0
Apple Watch,20250602124056+0200,75,2,Awake,0
Apple Watch,20250602124101+0200,74,2,Awake,0
Apple Watch,20250602124105+0200,73,2,Awake,0
Apple Watch,20250602124108+0200,73,2,Awake,0
Apple Watch,20250602124113+0200,72,2,Awake,0
Apple Watch,20250602124117+0200,71,2,Awake,0
Apple Watch,20250602124122+0200,71,2,Awake,0
Apple Watch,20250602124131+0200,76,2,Awake,0
Apple Watch,20250602124133+0200,76,2,Awake,0
Apple Watch,20250602124141+0200,73,2,Awake,0
Apple Watch,20250602124145+0200,73,2,Awake,0
Apple Watch,20250602124148+0200,72,2,Awake,0
Apple Watch,20250602124152+0200,71,2,Awake,0
Apple Watch,20250602124157+0200,71,2,Awake,0
Apple Watch,20250602124202+0200,72,2,Awake,0
Apple Watch,20250602124208+0200,72,2,Awake,0
Apple Watch,20250602124212+0200,72,2,Awake,0
Apple Watch,20250602124221+0200,73,2,Awake,0
Apple Watch,20250602124222+0200,73,2,Awake,0
Apple Watch,20250602124240+0200,73,2,Awake,0
Apple Watch,20250602124251+0200,74,2,Awake,0
Apple Watch,20250602124256+0200,73,2,Awake,0
Apple Watch,20250602124258+0200,74,2,Awake,0
Apple Watch,20250602124302+0200,74,2,Awake,0
Apple Watch,20250602124311+0200,95,2,Awake,0
Apple Watch,20250602124316+0200,102,2,Awake,0
Apple Watch,20250602124321+0200,103,2,Awake,0
Apple Watch,20250602124325+0200,102,2,Awake,0
Apple Watch,20250602124327+0200,104,2,Awake,0
Apple Watch,20250602124332+0200,107,2,Awake,0
Apple Watch,20250602124341+0200,98,2,Awake,0
Apple Watch,20250602124343+0200,93,2,Awake,0
Apple Watch,20250602124351+0200,77,2,Awake,0
Apple Watch,20250602124356+0200,74,2,Awake,0
Apple Watch,20250602124357+0200,74,2,Awake,0
Apple Watch,20250602124405+0200,74,2,Awake,0
Apple Watch,20250602124411+0200,74,2,Awake,0
Apple Watch,20250602124413+0200,74,2,Awake,0
Apple Watch,20250602124417+0200,81,2,Awake,0
Apple Watch,20250602124422+0200,91,2,Awake,0
Apple Watch,20250602124429+0200,97,2,Awake,0
Apple Watch,20250602124436+0200,99,2,Awake,0
Apple Watch,20250602124441+0200,102,2,Awake,0
Apple Watch,20250602124444+0200,103,2,Awake,0
Apple Watch,20250602124447+0200,102,2,Awake,0
Apple Watch,20250602124456+0200,111,2,Awake,0
Apple Watch,20250602124457+0200,112,2,Awake,0
Apple Watch,20250602124506+0200,108,2,Awake,0
Apple Watch,20250602124510+0200,105,2,Awake,0
Apple Watch,20250602124514+0200,107,2,Awake,0
Apple Watch,20250602124521+0200,101,2,Awake,0
Apple Watch,20250602124526+0200,99,2,Awake,0
Apple Watch,20250602124527+0200,98,2,Awake,0
Apple Watch,20250602124532+0200,96,2,Awake,0
Apple Watch,20250602124541+0200,105,2,Awake,0
Apple Watch,20250602124543+0200,104,2,Awake,0
Apple Watch,20250602124548+0200,103,2,Awake,0
Apple Watch,20250602124552+0200,104,2,Awake,0
Apple Watch,20250602124601+0200,112,2,Awake,0
Apple Watch,20250602124602+0200,112,2,Awake,0
Apple Watch,20250602124607+0200,115,2,Awake,0
Apple Watch,20250602124615+0200,118,2,Awake,0
Apple Watch,20250602124621+0200,117,2,Awake,0
Apple Watch,20250602124632+0200,117,2,Awake,0
Apple Watch,20250602124637+0200,119,2,Awake,0
Apple Watch,20250602124642+0200,123,2,Awake,0
Apple Watch,20250602124651+0200,120,2,Awake,0
Apple Watch,20250602124654+0200,120,2,Awake,0
Apple Watch,20250602124657+0200,118,2,Awake,0
Apple Watch,20250602124702+0200,115,2,Awake,0
Apple Watch,20250602124710+0200,118,2,Awake,0
Apple Watch,20250602124712+0200,118,2,Awake,0
Apple Watch,20250602124717+0200,120,2,Awake,0
Apple Watch,20250602124722+0200,120,2,Awake,0
Apple Watch,20250602124729+0200,117,2,Awake,0
Apple Watch,20250602124734+0200,119,2,Awake,0
Apple Watch,20250602124741+0200,113,2,Awake,0
Apple Watch,20250602124742+0200,114,2,Awake,0
Apple Watch,20250602124751+0200,116,2,Awake,0
Apple Watch,20250602124752+0200,115,2,Awake,0
Apple Watch,20250602124801+0200,122,2,Awake,0
Apple Watch,20250602124806+0200,122,2,Awake,0
Apple Watch,20250602124810+0200,121,2,Awake,0
Apple Watch,20250602124813+0200,121,2,Awake,0
Apple Watch,20250602124820+0200,123,2,Awake,0
Apple Watch,20250602124826+0200,123,2,Awake,0
Apple Watch,20250602124827+0200,123,2,Awake,0
Apple Watch,20250602124832+0200,124,2,Awake,0
Apple Watch,20250602124837+0200,120,2,Awake,0
Apple Watch,20250602124842+0200,118,2,Awake,0
Apple Watch,20250602124851+0200,113,2,Awake,0
Apple Watch,20250602124853+0200,116,2,Awake,0
Apple Watch,20250602124859+0200,123,2,Awake,0
Apple Watch,20250602124903+0200,126,2,Awake,0
Apple Watch,20250602124910+0200,128,2,Awake,0
Apple Watch,20250602124916+0200,126,2,Awake,0
Apple Watch,20250602124917+0200,126,2,Awake,0
Apple Watch,20250602124936+0200,129,2,Awake,0
Apple Watch,20250602124938+0200,128,2,Awake,0
Apple Watch,20250602124942+0200,127,2,Awake,0
Apple Watch,20250602124947+0200,120,2,Awake,0
Apple Watch,20250602124956+0200,107,2,Awake,0
Apple Watch,20250602125001+0200,108,2,Awake,0
Apple Watch,20250602125006+0200,110,2,Awake,0
Apple Watch,20250602125007+0200,111,2,Awake,0
Apple Watch,20250602125016+0200,115,2,Awake,0
Apple Watch,20250602125018+0200,112,2,Awake,0
Apple Watch,20250602125026+0200,114,2,Awake,0
Apple Watch,20250602125027+0200,114,2,Awake,0
Apple Watch,20250602125032+0200,118,2,Awake,0
Apple Watch,20250602125037+0200,112,2,Awake,0
Apple Watch,20250602125046+0200,96,2,Awake,0
Apple Watch,20250602125051+0200,84,2,Awake,0
Apple Watch,20250602125055+0200,83,2,Awake,0
Apple Watch,20250602125059+0200,84,2,Awake,0
Apple Watch,20250602125106+0200,85,2,Awake,0
Apple Watch,20250602125107+0200,85,2,Awake,0
Apple Watch,20250602125115+0200,89,2,Awake,0
Apple Watch,20250602125121+0200,93,2,Awake,0
Apple Watch,20250602125123+0200,93,2,Awake,0
Apple Watch,20250602125129+0200,91,2,Awake,0
Apple Watch,20250602125136+0200,96,2,Awake,0
Apple Watch,20250602125139+0200,96,2,Awake,0
Apple Watch,20250602125145+0200,97,2,Awake,0
Apple Watch,20250602125147+0200,97,2,Awake,0
Apple Watch,20250602125156+0200,98,2,Awake,0
Apple Watch,20250602125159+0200,98,2,Awake,0
Apple Watch,20250602125206+0200,106,2,Awake,0
Apple Watch,20250602125211+0200,102,2,Awake,0
Apple Watch,20250602125212+0200,103,2,Awake,0
Apple Watch,20250602125221+0200,100,2,Awake,0
Apple Watch,20250602125236+0200,96,2,Awake,0
Apple Watch,20250602125241+0200,90,2,Awake,0
Apple Watch,20250602125246+0200,87,2,Awake,0
Apple Watch,20250602125251+0200,87,2,Awake,0
Apple Watch,20250602125252+0200,87,2,Awake,0
Apple Watch,20250602125259+0200,87,2,Awake,0
Apple Watch,20250602125303+0200,90,2,Awake,0
Apple Watch,20250602125307+0200,93,2,Awake,0
Apple Watch,20250602125312+0200,99,2,Awake,0
Apple Watch,20250602125321+0200,100,2,Awake,0
Apple Watch,20250602125323+0200,100,2,Awake,0
Apple Watch,20250602125336+0200,97,2,Awake,0
Apple Watch,20250602125341+0200,93,2,Awake,0
Apple Watch,20250602125342+0200,93,2,Awake,0
Apple Watch,20250602125347+0200,95,2,Awake,0
Apple Watch,20250602125356+0200,86,2,Awake,0
Apple Watch,20250602125401+0200,87,2,Awake,0
Apple Watch,20250602125406+0200,87,2,Awake,0
Apple Watch,20250602125409+0200,87,2,Awake,0
Apple Watch,20250602125416+0200,87,2,Awake,0
Apple Watch,20250602125418+0200,86,2,Awake,0
Apple Watch,20250602125423+0200,84,2,Awake,0
Apple Watch,20250602125431+0200,84,2,Awake,0
Apple Watch,20250602125432+0200,84,2,Awake,0
Apple Watch,20250602125437+0200,87,2,Awake,0
Apple Watch,20250602125445+0200,99,2,Awake,0
Apple Watch,20250602125447+0200,101,2,Awake,0
Apple Watch,20250602125452+0200,101,2,Awake,0
